id,areaId,title,description,assignee,status,priority,dueDate,createdDate,sourceMeeting,updatedAt,
tsk-015,tramites,Permiso de Demolición,Tramitar el permiso de demolición. Requiere escritura inscripta.,Silvia,pendiente,media,2026-08-30,2026-05-11,2026-05-11,,
tsk-016,tramites,Revisar Estado de la Construcción del Fondo,Silvia pedirá copia del plano para evaluar si el fondo está declarado.,Silvia,en_proceso,alta,2026-06-15,2026-05-11,2026-05-21,,
tsk-017,"lbl-arq,lbl-comercial",Estudio de Suelos a 12m,"Pedir presupuesto a AGH Consultores. Coordinar fecha y pago.
12-jun: va a estar el jueves que viene
10-jun-26: Fede hace follow up (reasignado de Pascu)",Fede,pendiente,alta,2026-06-20,2026-04-27,2026-06-10,2026-06-14 23:02:51,https://drive.google.com/file/d/1K5epm2OtE6H1dG6wqQwzacZsuE-cCWN3/view?usp=drive_web
tsk-018,presupuesto,Cerrar Costo de Ingeniero Calculista,Definir y contratar al calculista. Opción Mesa $2.8M.,Fede,en_proceso,alta,2026-06-10,2026-04-22,2026-06-03,,
tsk-019,,Presupuesto de Demolición,Solicitar cotizaciones formales para la demolición. Contactos: Galuso.,Daro,pendiente,media,2026-07-15,2026-04-22,2026-06-10,2026-06-14 23:02:53,
tsk-020,presupuesto,Cotización de Asesores de Instalaciones,"Pedir presupuestos para eléctrica, sanitaria/incendios y termomecánica.",Daro,pendiente,media,2026-07-15,2026-04-22,2026-05-28,,
tsk-021,comercializacion,Análisis Económico con Superficies de Mensura,Armar análisis económico con los m2 reales de la agrimensura.,Pascu,en_proceso,alta,2026-06-20,2026-05-21,2026-06-03,,
tsk-022,comercializacion,Definir Lista de Precios e Incrementos,"Precio base USD 2,900/m2. Ajustar por piso y frente/contrafrente.",Todos,pendiente,alta,2026-06-25,2026-05-29,2026-05-29,,
tsk-023,comercializacion,Modelar Contratos / Boletos de Pozo,Redactar con la escribanía el modelo de boleto para compradores.,Pascu,pendiente,alta,2026-07-31,2026-05-21,2026-05-21,,
tsk-1781034016539,finanzas,Cerrar Ajuste Costos Sujar/Daimar,"Variables testigo: hierro, hormigon, ascensores, ventanas.
10-jun-26: pendiente cierre modelo económico Daimar.",Fede,en_proceso,alta,2026-06-20,2026-06-09,2026-06-10,2026-06-14 23:02:53,
tsk-1781034016996,arquitectura,Coordinar Fotos Drone Renders,Fotos drone con Rodri para renders. Elegir tarde de sol.,Daro,pendiente,media,2026-06-25,2026-06-09,2026-06-03,,
tsk-1781488971907,lbl-arq,Coordinar reunión con Rodri — imagen edificio y planos muni,"Pedir reunión a Rodri. Temas: (1) deadline imagen del edificio, (2) qué falta para presentar planos en municipalidad — calculista, instalaciones eléctricas, incendios, termomecánicas.",Fede,pendiente,urgente,2026-06-20,2026-06-14,2026-06-10,2026-06-14 23:02:51,
tsk-1781488974134,lbl-presupuesto,Pedir presupuestos de ascensores,Solicitar presupuestos de ascensores. Coordinar con Rodri.,Rodri,pendiente,media,2026-07-15,2026-06-14,2026-06-10,2026-06-14 23:02:54,
tsk-1781488974644,lbl-sociedad,Obtener CUIT de la Sociedad,Tramitar CUIT de la sociedad. Bloqueante para apertura de cuentas bancarias.,Daro,pendiente,alta,2026-06-20,2026-06-14,2026-06-10,2026-06-14 23:02:54,
tsk-1781488975682,lbl-sociedad,Abrir Cuenta Santander Frances,Fede gestiona apertura de cuenta en Santander Frances.,Fede,pendiente,alta,2026-06-30,2026-06-14,2026-06-10,2026-06-14 23:02:55,
tsk-1781488976159,lbl-sociedad,Abrir Cuenta Supervielle,Daro gestiona apertura de cuenta en Supervielle. Hablar con Luis.,Daro,pendiente,alta,2026-06-30,2026-06-14,2026-06-10,2026-06-14 23:02:56,
tsk-1781488976528,lbl-comercial,Buscar Renderista,Evaluar necesidad de renderista para presentación comercial.,Todos,pendiente,baja,2026-07-15,2026-06-14,2026-06-10,2026-06-15 18:48:26,
